epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.7238,1.07935,3.18611,1.14157,0.74992,0.22476,0.28562,0.22485,0.96933,2.39538,1.01917,0.00030027,0.00030027,0.00030027
2,65.4345,1.07848,2.02202,1.10758,0.56293,0.39217,0.41922,0.28905,1.04389,1.57751,1.04383,0.000597298,0.000597298,0.000597298
3,95.9635,1.08181,1.71357,1.11442,0.68399,0.40514,0.48711,0.344,0.98469,1.33154,1.04479,0.000888326,0.000888326,0.000888326
4,126.218,1.03123,1.51514,1.09579,0.67413,0.45464,0.52477,0.37513,0.93782,1.37644,1.02286,0.000882003,0.000882003,0.000882003
5,156.192,1.01822,1.38891,1.08562,0.65285,0.51174,0.54613,0.37646,0.98738,1.17618,1.03369,0.000873004,0.000873004,0.000873004
6,187.855,1.00011,1.30489,1.07911,0.76608,0.51138,0.57457,0.41386,0.88798,1.07517,0.99731,0.000864004,0.000864004,0.000864004
7,218.653,0.97119,1.20615,1.06543,0.75834,0.51151,0.58032,0.41558,0.91152,1.17404,1.00051,0.000855005,0.000855005,0.000855005
8,246.425,0.94148,1.11031,1.04585,0.79156,0.54617,0.62254,0.4525,0.85024,0.97009,0.97685,0.000846006,0.000846006,0.000846006
9,276.294,0.9307,1.07764,1.03589,0.77378,0.56428,0.63846,0.47114,0.80991,0.93511,0.9609,0.000837007,0.000837007,0.000837007
10,307.811,0.9128,1.03377,1.03621,0.78979,0.55806,0.60855,0.44572,0.84008,0.9812,0.98214,0.000828008,0.000828008,0.000828008
11,337.962,0.89629,0.98915,1.02721,0.78092,0.58671,0.64509,0.47372,0.79184,0.86377,0.94759,0.000819009,0.000819009,0.000819009
12,367.88,0.88183,0.9778,1.03054,0.8308,0.57013,0.6626,0.491,0.80101,0.86939,0.95154,0.00081001,0.00081001,0.00081001
13,398.136,0.88466,0.94341,1.03013,0.8764,0.55025,0.65126,0.48441,0.78668,0.84511,0.95478,0.000801011,0.000801011,0.000801011
14,427.852,0.85973,0.90826,1.01438,0.85285,0.59741,0.67302,0.49568,0.79575,0.81078,0.94717,0.000792012,0.000792012,0.000792012
15,456.359,0.84144,0.88047,1.00229,0.85221,0.58305,0.67267,0.50424,0.77833,0.79865,0.94046,0.000783013,0.000783013,0.000783013
16,488.489,0.84793,0.88333,1.0163,0.85535,0.57396,0.66303,0.49368,0.77439,0.83828,0.95942,0.000774013,0.000774013,0.000774013
17,515.958,0.82439,0.83919,0.9967,0.80031,0.583,0.66318,0.49354,0.78239,0.81967,0.94675,0.000765014,0.000765014,0.000765014
18,546.579,0.81755,0.84271,0.99707,0.80497,0.53346,0.62099,0.45961,0.83365,1.00056,0.99043,0.000756015,0.000756015,0.000756015
19,575.736,0.81156,0.82779,0.98912,0.84254,0.56191,0.66363,0.50653,0.75029,0.79351,0.93808,0.000747016,0.000747016,0.000747016
20,607.556,0.81188,0.80949,0.99653,0.80794,0.60773,0.67547,0.51316,0.75002,0.78089,0.94248,0.000738017,0.000738017,0.000738017
21,637.357,0.8081,0.79288,0.98773,0.84873,0.62266,0.69874,0.52857,0.7475,0.75068,0.93479,0.000729018,0.000729018,0.000729018
22,664.856,0.79384,0.77351,0.98317,0.82958,0.58557,0.68191,0.52572,0.72363,0.79177,0.9189,0.000720019,0.000720019,0.000720019
23,695.114,0.77756,0.761,0.97834,0.83781,0.61735,0.68975,0.52338,0.72594,0.76525,0.92596,0.00071102,0.00071102,0.00071102
24,726.235,0.77589,0.75826,0.978,0.84782,0.59717,0.6894,0.51234,0.74456,0.75571,0.94129,0.000702021,0.000702021,0.000702021
25,756.638,0.77625,0.74776,0.96906,0.88937,0.60804,0.68665,0.53371,0.74005,0.73522,0.9375,0.000693022,0.000693022,0.000693022
26,786.732,0.74922,0.72616,0.95952,0.83276,0.60233,0.68561,0.52637,0.71448,0.72977,0.93181,0.000684022,0.000684022,0.000684022
27,817.104,0.75717,0.71861,0.96444,0.85393,0.57053,0.67923,0.5193,0.74899,0.7735,0.93881,0.000675023,0.000675023,0.000675023
28,847.288,0.75487,0.72164,0.96421,0.86706,0.61414,0.704,0.53674,0.73571,0.68274,0.94019,0.000666024,0.000666024,0.000666024
29,879.373,0.74162,0.69261,0.95774,0.91065,0.57892,0.69607,0.53009,0.71463,0.70507,0.92861,0.000657025,0.000657025,0.000657025
30,906.604,0.73695,0.69297,0.95894,0.87785,0.63372,0.71783,0.55313,0.68929,0.70512,0.9168,0.000648026,0.000648026,0.000648026
31,936.815,0.72301,0.67407,0.95363,0.83592,0.63829,0.71207,0.55124,0.70117,0.68179,0.91717,0.000639027,0.000639027,0.000639027
32,967.544,0.73671,0.6819,0.95444,0.84412,0.60962,0.69918,0.53501,0.68806,0.70621,0.914,0.000630028,0.000630028,0.000630028
33,997.717,0.74222,0.68846,0.95824,0.86286,0.6369,0.7122,0.55096,0.67705,0.66277,0.9121,0.000621029,0.000621029,0.000621029
34,1030.05,0.73626,0.67693,0.95389,0.87708,0.63038,0.71434,0.5522,0.6848,0.66607,0.91304,0.00061203,0.00061203,0.00061203
35,1060.54,0.72294,0.66977,0.95357,0.86725,0.61734,0.70567,0.54819,0.68222,0.66026,0.91362,0.000603031,0.000603031,0.000603031
36,1092.37,0.71244,0.65618,0.94685,0.897,0.623,0.71997,0.55853,0.683,0.6588,0.91455,0.000594031,0.000594031,0.000594031
37,1123.56,0.70902,0.65235,0.9501,0.89256,0.62458,0.71595,0.55726,0.67784,0.64451,0.9201,0.000585032,0.000585032,0.000585032
38,1152.46,0.69824,0.62683,0.94231,0.90812,0.63123,0.71905,0.54873,0.68323,0.65469,0.9152,0.000576033,0.000576033,0.000576033
39,1182.47,0.71378,0.65352,0.95516,0.86159,0.63707,0.70934,0.55647,0.65861,0.64446,0.9043,0.000567034,0.000567034,0.000567034
40,1214.22,0.71624,0.63629,0.94887,0.87431,0.63169,0.72007,0.55852,0.64082,0.63521,0.89693,0.000558035,0.000558035,0.000558035
41,1244.38,0.68416,0.6021,0.93449,0.86322,0.63172,0.70951,0.55739,0.66985,0.64294,0.90075,0.000549036,0.000549036,0.000549036
42,1275.33,0.68464,0.61811,0.931,0.87267,0.66002,0.74091,0.57865,0.65039,0.61359,0.8996,0.000540037,0.000540037,0.000540037
43,1306.91,0.70911,0.62309,0.94542,0.84721,0.65382,0.72188,0.56213,0.64922,0.6303,0.89162,0.000531038,0.000531038,0.000531038
44,1337.24,0.67451,0.61178,0.9351,0.86286,0.64499,0.71597,0.56724,0.64324,0.62714,0.89643,0.000522039,0.000522039,0.000522039
45,1364.67,0.68702,0.61255,0.93572,0.86229,0.637,0.71747,0.56802,0.64973,0.63284,0.89493,0.00051304,0.00051304,0.00051304
46,1394.53,0.67085,0.5923,0.92845,0.90713,0.63333,0.72685,0.57675,0.62664,0.5887,0.89707,0.00050404,0.00050404,0.00050404
47,1424.9,0.6704,0.59535,0.93019,0.90381,0.62439,0.72028,0.56114,0.65475,0.62241,0.89855,0.000495041,0.000495041,0.000495041
48,1456.61,0.66523,0.59076,0.9303,0.90494,0.61392,0.72294,0.56758,0.64781,0.62858,0.90654,0.000486042,0.000486042,0.000486042
49,1486.64,0.67086,0.5895,0.92773,0.83692,0.66318,0.72736,0.57144,0.63581,0.5964,0.90461,0.000477043,0.000477043,0.000477043
50,1516.56,0.6571,0.57144,0.92717,0.9039,0.62218,0.71607,0.5723,0.6369,0.60406,0.90444,0.000468044,0.000468044,0.000468044
51,1546.97,0.66508,0.5759,0.92927,0.90434,0.64641,0.73663,0.57724,0.63968,0.60839,0.90288,0.000459045,0.000459045,0.000459045
52,1578.31,0.64411,0.5682,0.92198,0.88846,0.6347,0.72756,0.57543,0.61801,0.59993,0.89415,0.000450046,0.000450046,0.000450046
53,1605.93,0.64597,0.56378,0.91979,0.88013,0.65004,0.73466,0.58094,0.60764,0.59661,0.89415,0.000441047,0.000441047,0.000441047
54,1636.06,0.6347,0.55177,0.92494,0.88941,0.65214,0.73569,0.5839,0.63238,0.59775,0.89889,0.000432048,0.000432048,0.000432048
55,1666.34,0.6443,0.55855,0.92552,0.88293,0.65032,0.73572,0.58837,0.61497,0.59374,0.88628,0.000423049,0.000423049,0.000423049
56,1696.3,0.63442,0.54989,0.92148,0.8965,0.6526,0.7348,0.58482,0.60198,0.58492,0.87706,0.000414049,0.000414049,0.000414049
57,1727.99,0.639,0.55554,0.92234,0.88437,0.66583,0.74627,0.59452,0.60657,0.5612,0.88698,0.00040505,0.00040505,0.00040505
58,1758.05,0.64316,0.54914,0.9189,0.89417,0.66076,0.736,0.58604,0.61761,0.58079,0.88662,0.000396051,0.000396051,0.000396051
59,1788.26,0.63392,0.54387,0.91688,0.85765,0.66555,0.74219,0.59045,0.61758,0.5696,0.8822,0.000387052,0.000387052,0.000387052
60,1815.89,0.62805,0.53413,0.9095,0.9003,0.6708,0.74806,0.5967,0.60738,0.53855,0.88152,0.000378053,0.000378053,0.000378053
61,1846.17,0.63669,0.54312,0.91146,0.86844,0.66719,0.73886,0.58951,0.61617,0.57242,0.88686,0.000369054,0.000369054,0.000369054
62,1878.2,0.62417,0.52435,0.9086,0.88168,0.66092,0.73627,0.58227,0.62378,0.58294,0.88713,0.000360055,0.000360055,0.000360055
63,1907.78,0.61214,0.52299,0.90641,0.90331,0.65283,0.74431,0.59005,0.61443,0.55212,0.89257,0.000351056,0.000351056,0.000351056
64,1937.88,0.60257,0.50941,0.90558,0.87086,0.68832,0.74989,0.59633,0.61118,0.55889,0.88259,0.000342057,0.000342057,0.000342057
65,1968.01,0.59922,0.51248,0.90592,0.84739,0.67743,0.74741,0.59257,0.60372,0.55693,0.8832,0.000333058,0.000333058,0.000333058
66,1999.47,0.61665,0.51724,0.90442,0.93282,0.64115,0.75585,0.60034,0.60533,0.55757,0.88414,0.000324058,0.000324058,0.000324058
67,2026.53,0.59649,0.49757,0.90588,0.87067,0.67511,0.74959,0.5946,0.61269,0.54361,0.88918,0.000315059,0.000315059,0.000315059
68,2056.66,0.59337,0.49791,0.90483,0.87752,0.67879,0.75432,0.60512,0.60018,0.53377,0.88855,0.00030606,0.00030606,0.00030606
69,2086.85,0.60246,0.50382,0.90554,0.83876,0.69022,0.75105,0.60346,0.59371,0.54609,0.88649,0.000297061,0.000297061,0.000297061
70,2117.1,0.59543,0.49845,0.90664,0.86095,0.69155,0.75014,0.60376,0.59036,0.53886,0.88541,0.000288062,0.000288062,0.000288062
71,2148.91,0.58048,0.48554,0.90314,0.88931,0.66399,0.7514,0.60326,0.58636,0.5325,0.88452,0.000279063,0.000279063,0.000279063
72,2179.27,0.595,0.49677,0.90475,0.86829,0.68684,0.75406,0.60393,0.58729,0.51629,0.88515,0.000270064,0.000270064,0.000270064
73,2209.23,0.59479,0.48963,0.90287,0.86503,0.68146,0.74947,0.60598,0.57355,0.52,0.87491,0.000261065,0.000261065,0.000261065
74,2236.61,0.58749,0.48506,0.90094,0.86303,0.67812,0.74387,0.60024,0.56843,0.53415,0.86948,0.000252066,0.000252066,0.000252066
75,2267.52,0.57444,0.47661,0.89414,0.9105,0.65726,0.75126,0.60623,0.58978,0.52149,0.87982,0.000243067,0.000243067,0.000243067
76,2298.9,0.58363,0.47274,0.89764,0.89223,0.66732,0.75271,0.60529,0.58639,0.5148,0.87988,0.000234068,0.000234068,0.000234068
77,2330.35,0.57167,0.46964,0.90026,0.89398,0.68379,0.75846,0.60973,0.57603,0.51981,0.87688,0.000225068,0.000225068,0.000225068
78,2359.15,0.57929,0.47471,0.89325,0.90901,0.66857,0.75365,0.60579,0.57934,0.52837,0.87584,0.000216069,0.000216069,0.000216069
79,2390.02,0.57454,0.4649,0.89142,0.88867,0.67332,0.75282,0.60931,0.5676,0.52272,0.87092,0.00020707,0.00020707,0.00020707
80,2421.02,0.56282,0.46366,0.88975,0.8969,0.68623,0.76104,0.61271,0.57111,0.51013,0.87232,0.000198071,0.000198071,0.000198071
81,2451.03,0.566,0.46956,0.8965,0.86719,0.69539,0.76413,0.61437,0.56929,0.51514,0.86953,0.000189072,0.000189072,0.000189072
82,2478.53,0.56586,0.46048,0.8872,0.89179,0.68702,0.7632,0.6174,0.56125,0.50247,0.86695,0.000180073,0.000180073,0.000180073
83,2508.19,0.55205,0.45542,0.89119,0.88466,0.69326,0.76058,0.61414,0.56427,0.50467,0.86992,0.000171074,0.000171074,0.000171074
84,2539.81,0.54004,0.44896,0.88459,0.91221,0.67593,0.76409,0.61625,0.56289,0.50931,0.86621,0.000162075,0.000162075,0.000162075
85,2569.5,0.55925,0.45024,0.89468,0.91144,0.6895,0.76727,0.61427,0.56513,0.50258,0.87175,0.000153076,0.000153076,0.000153076
86,2599.98,0.54729,0.44678,0.88961,0.89613,0.692,0.76123,0.61565,0.55599,0.49216,0.86718,0.000144077,0.000144077,0.000144077
87,2629.61,0.54832,0.44292,0.88634,0.86718,0.69848,0.76093,0.61786,0.55,0.50013,0.86387,0.000135077,0.000135077,0.000135077
88,2656.78,0.54564,0.44646,0.88308,0.88094,0.69531,0.75936,0.62021,0.54448,0.4952,0.86252,0.000126078,0.000126078,0.000126078
89,2688.45,0.54105,0.443,0.88617,0.8528,0.70188,0.76267,0.62147,0.55221,0.50745,0.86837,0.000117079,0.000117079,0.000117079
90,2718.42,0.53615,0.43867,0.87976,0.91663,0.67621,0.76865,0.62335,0.56185,0.50525,0.87146,0.00010808,0.00010808,0.00010808
91,2751.68,0.46705,0.37322,0.8269,0.88084,0.68686,0.75283,0.60798,0.57315,0.52015,0.88333,9.9081e-05,9.9081e-05,9.9081e-05
92,2781.49,0.45653,0.3597,0.82693,0.90625,0.6629,0.7528,0.61039,0.56607,0.52063,0.87933,9.00819e-05,9.00819e-05,9.00819e-05
93,2813.03,0.46041,0.35259,0.82789,0.87899,0.68646,0.75587,0.61127,0.56426,0.5217,0.87482,8.10828e-05,8.10828e-05,8.10828e-05
94,2842.53,0.45737,0.35386,0.82679,0.91399,0.66994,0.76131,0.61806,0.55479,0.5114,0.87078,7.20837e-05,7.20837e-05,7.20837e-05
95,2872.02,0.45097,0.34557,0.83113,0.89731,0.69253,0.76183,0.62009,0.55921,0.50907,0.87223,6.30846e-05,6.30846e-05,6.30846e-05
96,2899.1,0.44449,0.34543,0.82483,0.86154,0.70499,0.7615,0.61951,0.55716,0.49977,0.87346,5.40855e-05,5.40855e-05,5.40855e-05
97,2928.74,0.44126,0.33742,0.82676,0.8973,0.69236,0.76027,0.61977,0.55531,0.5101,0.87321,4.50864e-05,4.50864e-05,4.50864e-05
98,2960.41,0.43762,0.33871,0.82382,0.89626,0.68544,0.7633,0.61974,0.55485,0.507,0.87475,3.60873e-05,3.60873e-05,3.60873e-05
99,2990.17,0.43396,0.33681,0.82623,0.88938,0.70311,0.76251,0.61846,0.55105,0.50327,0.86991,2.70882e-05,2.70882e-05,2.70882e-05
100,3020.01,0.43357,0.33216,0.81889,0.87696,0.70062,0.76179,0.61902,0.5503,0.50222,0.86893,1.80891e-05,1.80891e-05,1.80891e-05
