epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,155.987,1.21752,3.24153,1.0947,0.64544,0.15448,0.17296,0.11963,1.27582,2.78565,1.08682,0.00030027,0.00030027,0.00030027
2,309.384,1.25764,2.11302,1.10334,0.56012,0.27986,0.29459,0.19654,1.25886,1.78659,1.094,0.000543547,0.000543547,0.000543547
3,462.419,1.23159,1.77446,1.09469,0.47551,0.35733,0.33824,0.22531,1.21379,1.75156,1.0878,0.000726829,0.000726829,0.000726829
4,616.332,1.18063,1.57692,1.08258,0.55742,0.35688,0.3627,0.24859,1.18257,1.60438,1.07885,0.000639027,0.000639027,0.000639027
5,772.368,1.12209,1.41371,1.05228,0.64733,0.3771,0.42139,0.29346,1.07725,1.32123,1.03,0.000549036,0.000549036,0.000549036
6,939.047,1.05186,1.26708,1.02586,0.71852,0.40085,0.45569,0.32292,1.01485,1.16076,1.0017,0.000459045,0.000459045,0.000459045
7,1096.56,0.98009,1.141,0.99605,0.75915,0.40648,0.46278,0.3237,1.02295,1.15731,1.01115,0.000369054,0.000369054,0.000369054
8,1252.71,0.93736,1.07116,0.968,0.79132,0.40737,0.47738,0.34486,0.95065,1.05237,0.97517,0.000279063,0.000279063,0.000279063
9,1408.77,0.8942,0.98315,0.95408,0.71373,0.43107,0.48662,0.35336,0.92758,1.0277,0.97467,0.000189072,0.000189072,0.000189072
10,1563.71,0.85874,0.93654,0.94356,0.72197,0.44132,0.49319,0.36441,0.89103,0.98458,0.96177,9.9081e-05,9.9081e-05,9.9081e-05
